#  file: fmRawProjectAuthors2010-May.txt
#  package: fmProjectData
#  description of file/package:
#
#  This package includes raw data files from our database of Freshmeat project 
#  information generated from the list of projects gathered in May of 2010
#
#  Raw data was inserted into database by running the scripts:
#  scraper.pl and url_resolver.pl on the RDF files provided by Freshmeat. Get 
#  these files like this:
#  curl -O http://download.freshmeat.net/backend/fm-projects.rdf.bz2
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (afterall we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT fp.project_id, fp.projectname_short, fpa.author_name, fpa.author_role 
#  FROM `fm_project_authors` fpa, fm_projects fp 
#  WHERE fp.datasource_id=218
#  AND fpa.datasource_id=218
#  AND fpa.project_id = fp.project_id
#  ORDER BY fp.project_id
#
#  datasource_id = 218 is the May 2010 run on freshmeat.
project_id	projectname_short	author_name	author_role
4807	jerryssurveysystem\n    	Jerronimo	Owner
4815	jflash\n    	William Lee	Owner
4816	jflex\n    	lsf	Owner
4818	jfreshmeat-nntp\n    	Morgan Schweers	Owner
4819	jfs\n    	Dave Kleikamp	Owner
4820	jftpgw\n    	McKnight	Owner
4821	jfwadmin\n    	Marcus	Owner
4822	jhead\n    	Matthias Wandel	Owner
4826	jigs\n    	Nicola Pero	Owner
4827	jigsaw\n    	yl	Owner
4829	jikes\n    	cabbey	Owner
4832	jimageview\n    	jcmcmurr	Owner
4833	jinit\n    	John Fremlin	Owner
4837	jirc\n    	Jerronimo	Owner
4838	jiten\n    	Jay F Kominek	Owner
4840	jive\n    	Jive Software	Owner
4841	jivesyslog\n    	Evelyn Mitchell	Owner
4844	jjvm\n    	John Garrison	Owner
4845	jlearner\n    	Nudge	Owner
4848	jlj\n    	Jerronimo	Owner
4851	jmap\n    	Mark Ogden	Owner
4853	jmk-x11-fonts\n    	Jim Knoble	Owner
4854	jmol\n    	EgonW	Owner
4856	jmud\n    	Fabrício Matheus Gonçalves	Owner
4857	jmusic\n    	arb	Owner
4864	jode\n    	Jochen Hoenicke	Owner
4867	john\n    	Solar Designer	Owner
4869	joinpic\n    	Matthew Mueller	Owner
4870	jonah\n    	Chuck Hagenbuch	Owner
4870	jonah\n    	Jan Schneider	Developer
4870	jonah\n    	Michael Rubinsky	Admin
4872	jonas\n    	François Exertier	Owner
4874	jooky\n    	dentar	Owner
4877	jvoiplib\n    	Jori	Owner
4881	journyxtimesheet\n    	Journyx	Owner
4882	joy2key\n    	Peter Amstutz	Owner
4883	joyd\n    	Christian Garbs	Owner
4887	jpass\n    	Kelv	Owner
4889	jpig\n    	The Evil Twin	Owner
4890	jpilot\n    	judd	Owner
4893	jpos\n    	Alejandro Pablo Revilla	Owner
4894	javaprintf\n    	Charlton Rose	Owner
4898	jpythonjb\n    	dOxxx	Owner
4900	jrw\n    	Davide Alberani	Owner
4906	jrtplib\n    	Jori	Owner
4910	jscraper\n    	Charlton Rose	Owner
4911	jsd\n    	Morty Abzug	Owner
4915	jshell\n    	geophile	Owner
4917	jslice\n    	Paul L Daniels	Owner
4924	jstart\n    	Nulli	Owner
4928	jswat\n    	Nathan Fiedler	Owner
4929	jsx\n    	Brendan Macmillan	Owner
4930	jsynthlib\n    	bklock	Owner
4934	jtopen\n    	Jeff L	Owner
4936	juddi\n    	Steve Viens	Owner
4943	juked\n    	SamC	Owner
4946	jumpgate\n    	Patroklos Argyroudis	Owner
4947	junglemonkey\n    	David A. Helder	Owner
4951	junitx\n    	Andreas Heilwagen	Developer
4953	junkex\n    	Ossi	Owner
4954	junkfilter\n    	gsutter	Owner
4964	jwhois\n    	Peter Karlsson	Maintainer
4964	jwhois\n    	Jonas Öberg	Owner
4965	jwma\n    	Wimpi	Owner
4966	jx\n    	John Lindal	Owner
4968	jxml2sql\n    	acidos	Owner
4969	jython\n    	Finn Bock	Owner
4974	qlc\n    	hc junnila	Owner
4976	k-3d\n    	Timothy M. Shead	Owner
4979	k118\n    	James Cameron	Owner
4984	k8ktest\n    	Jorre	Owner
4991	kalamaris\n    	Antonio Larrosa	Owner
4996	kam2\n    	frank.fun	Owner
4999	klookup\n    	timecop	Owner
5001	kannel\n    	Stipe Tolj	Owner
5003	kapptemplate\n    	Kurt Granroth	Owner
5011	katie\n    	Geoffrey D. Bennett	Owner
5012	katy\n    	dOxxx	Owner
5017	kaybot\n    	kay3	Owner
5019	kbabel\n    	Stanislav Visnovsky	Maintainer
5019	kbabel\n    	Matthias Kiefer	Owner
5020	kbackup\n    	Dave Frascone	Owner
5023	kbd\n    	Alexey Gladkov	Project Manager
5026	kbdlock\n    	Patrizio Bruno	Owner
5028	kbiff\n    	Kurt Granroth	Owner
5033	kboxes!\n    	Panayotis Katsaloulis	Owner
5039	kcd\n    	lerdsuwa	Owner
5041	kcdlabel\n    	PeP	Owner
5047	kcmdhcpd\n    	Willy De la Court	Owner
5051	kcompiler\n    	Zavolzhsky Alexandr	Owner
5052	kconfigure\n    	Javier Campos	Owner
5058	kdb\n    	imipak	Owner
5059	kdbg\n    	Johannes Sixt	Owner
5061	kdc2tiff\n    	Chris Studholme	Owner
5063	kde\n    	binner	Owner
5068	kdesimpleprogrammingtutorial\n    	Antonio Larrosa	Owner
5071	kdelnk2wmaker\n    	Maciej Witkowiak	Owner
5074	kdestudio\n    	Max Judin	Owner
5076	kdevelop\n    	Amilcar	Owner
5076	kdevelop\n    	Caleb Tennis	Project Manager
5080	kdiary\n    	Guillermo Castro	Owner
5083	kdao\n    	azhyd	Owner
5093	keasyisdn\n    	frank.fun	Owner
5096	keeper\n    	Miklos Szeredi	Owner
5098	kegtracker\n    	Pete Ryland	Owner
5099	kegs\n    	skaro	Owner
5102	kernel-alert\n    	Nathan Walp	Owner
5103	kernelcookies\n    	Tobias Klausmann	Owner
5104	kd\n    	omerz	Owner
5106	kexis\n    	Wayde Milas	Owner
5110	keykit\n    	Tim Thompson	Owner
5113	keystone2\n    	Shayde	Owner
5116	kfilereplace\n    	François Dupoux	Owner
5120	kflog\n    	Heiner Lamprecht	Owner
5120	kflog\n    	Florian Ehinger	Developer
5123	kfourier\n    	Antonio Larrosa	Owner
5127	kgoodstuff\n    	Jürgen Vigna	Owner
5128	kgrep\n    	Kenneth J. Pronovici	Owner
5132	kguitar\n    	GreyCat	Owner
5140	khrono\n    	Axel von Arnim	Owner
5142	kiboze_pl\n    	Tim Skirvin	Owner
5144	kickweb\n    	linugen	Owner
5146	kicq\n    	Denis V. Dmitrienko	Owner
5163	king\n    	Lucas Di Pentima	Owner
5164	kingofthehill\n    	douglaz	Owner
5165	kino\n    	Arne Schirmacher	Owner
5168	kinst\n    	Steffen Sobiech	Owner
5175	kisocd\n    	Jens Wilhelm Wulf	Owner
5177	kissme\n    	John Leuner	Owner
5178	kit\n    	Henrik Abelsson	Owner
5181	kittycode\n    	dustins	Owner
5187	klack\n    	Andre	Owner
5192	kleds\n    	HM	Owner
5201	klos\n    	Tobias Rapp	Owner
5202	klotski\n    	Bluebird	Owner
5207	kmago\n    	Sergio Moretti	Owner
5208	kmail\n    	Don Sanders	Owner
5210	kmamerun\n    	Jürgen Vigna	Owner
5211	kmamu\n    	Christopher Stone	Owner
5214	kmc_utils\n    	Dan Mueth	Owner
5217	kmerge\n    	Bluebird	Project Manager
5218	kmid\n    	Antonio Larrosa	Owner
5226	kmol\n    	Tomislav Gountchev	Owner
5231	kmovisto\n    	Mario Hoverath	Owner
5244	knapster\n    	john d	Owner
5248	knetfilter\n    	genoni	Owner
5254	knfsd\n    	G. Allen Morris III	Owner
5254	knfsd\n    	Olaf Kirch	Author
5260	knode\n    	Christian Gebauer	Owner
5261	knowledgebase\n    	Dave	Owner
5263	koalamud\n    	Nite Hawk	Owner
5265	kobazeggdropscripts\n    	Kobaz	Owner
5270	kof91\n    	Duncan Mac-Vicar P.	Owner
5271	koffice\n    	binner	Owner
5273	koha\n    	Joshua Ferraro	Developer
5273	koha\n    	Russel	Owner
5274	kojac\n    	KOJAC maintainer	Owner
5280	konnekt4\n    	Baris	Owner
5283	konspire\n    	Jason Rohrer	Owner
5285	konverse\n    	mrkite00	Owner
5295	kover\n    	adrian	Owner
5298	kpasman\n    	cronel	Owner
5306	kphpdev\n    	Tiberiu Craciun	Owner
5308	kpl\n    	Werner Stille	Owner
5312	kapooka\n    	Mr. Bogus	Owner
5314	kpopup\n    	Torsten Henschel	Owner
5331	kreatecd\n    	Alexander Feigl	Owner
5334	kreslitko\n    	ondra	Owner
5336	krio\n    	acidos	Owner
5344	krunning\n    	Andreas Scherf	Owner
5346	krusader\n    	Rafi Yanai	Owner
5346	krusader\n    	shie erlich	Owner
5354	kseg\n    	ibaran	Owner
5355	ksendfax\n    	Jürgen Vigna	Owner
5357	ksetiwatch\n    	Gordon Machel	Owner
5360	kshowmail\n    	Eggert Ehmke	Owner
5362	ksischeme\n    	ivan demakov	Owner
5365	ksm\n    	Hangil Chang	Owner
5369	ksniff\n    	jcorey	Project Manager
5372	ksocrat\n    	Zavolzhsky Alexandr	Owner
5379	kssh\n    	bilibao	Owner
5380	kstella\n    	Stephen Anthony	Owner
5387	ktail\n    	Rolf Jakob	Owner
5389	ktamaga\n    	Thomas Leineweber	Owner
5399	ktouch\n    	Håvard Frøiland	Owner
5408	kumera\n    	Jim Richards	Owner
5410	kunit\n    	Jan Schaumann	Owner
5411	kupgrade_sh\n    	W. Michael Petullo	Owner
5414	kvec\n    	Karl-Heinz Kuhl	Owner
5417	kvirc\n    	Szymon Stefanek	Owner
5425	kwatch\n    	Martin Junius	Owner
5426	kwav2cd\n    	Florian Paetz	Owner
5427	kwave\n    	Thomas Eschenbacher	Owner
5432	kwebget\n    	frank.fun	Owner
5438	kwintv\n    	George Staikos	Owner
5442	kwvdial\n    	Patrick Patterson	Owner
5451	lmp\n    	Bernhard J Pietsch	Owner
5458	l4ka\n    	Volkmar Uhlig	Owner
5460	labelnation\n    	Karl fogel	Owner
5462	lada\n    	gyp	Owner
5468	lammpi\n    	Jeff Squyres	Owner
5469	lame\n    	Rogério Brito	Owner
5469	lame\n    	Mark Taylor	Owner
5471	lamesocks\n    	Paul Starzetz	Owner
5472	landb\n    	Frank Sweetser	Owner
5473	lando\n    	Steve Madsen	Owner
5475	lanforge\n    	Ben Greear	Owner
5478	lanoche\n    	Werner Heuser	Owner
5484	larbin\n    	Sebastien Ailleret	Owner
5485	lars\n    	Michael Kohn	Owner
5486	larswm\n    	Lars	Owner
5488	latd\n    	Patrick Caulfield	Owner
5494	launch_app\n    	Serg Stoyan	Owner
5495	launcher\n    	Ethan Gold	Owner
5498	lavaps\n    	John Heidemann	Owner
5501	lazarus\n    	Michael A. Hess	Owner
5501	lazarus\n    	Vincent Snijders	Admin
5506	lbdb\n    	Roland Rosenfeld	Owner
5507	lbpool\n    	Anders Fugmann	Owner
5508	lbreakout\n    	kulkanie	Owner
5515	lcdlcdmatrixorbital\n    	Devon Jones	Owner
5516	lcd4linux\n    	Michael Reinelt	Owner
5519	lcdproc\n    	Guillaume Filion	Owner
5522	seti-lcd\n    	Tim Niemueller	Owner
5523	lcdstat\n    	mattw	Owner
5524	lcl\n    	c-tron	Owner
5525	splint\n    	David Evans	Owner
5526	lcra\n    	Ed Avis	Owner
5529	ldapclassforphp\n    	Eric Kilfoil	Owner
5533	ldap2dns\n    	Ben Klang	Owner
5536	ldapconf\n    	Stein Vråle	Owner
5539	ldasm\n    	P.Gleichmann	Owner
5544	leeditor\n    	Alexander V. Lukyanov	Author
5546	leafnode\n    	Matthias Andree	Owner
5550	leaktracer\n    	Erwin S. Andreasen	Owner
5554	leaprdbms\n    	Richard Leyton	Owner
5561	ledcontrol\n    	plaa	Owner
5562	ledmail\n    	Michael McTernan	Owner
5563	ledsm\n    	Juanjo A. Martínez	Owner
5565	leech\n    	Kars Meyboom	Owner
5567	leetnux\n    	Andreas Krennmair	Owner
5570	bouncycastlecryptoapi\n    	David Hook	Owner
5571	legorcx_pm\n    	John Quillan	Owner
5573	lejos\n    	Brian Bagnall	Owner
5574	leksbot\n    	nick apostolakis	Owner
5576	lemon\n    	D. Richard Hipp	Owner
5578	leocad\n    	lzide	Owner
5583	less\n    	Gürkan	Owner
5585	lesstif\n    	Danny Backx	Owner
5587	lexica\n    	Miguel Filgueiras	Owner
5591	c2050\n    	Marco Nenciarini	Owner
5606	lftp\n    	Alexander V. Lukyanov	Author
5617	libavl\n    	Ben Pfaff	Owner
5618	libax25\n    	seeS	Owner
5619	libbadpenguin\n    	AGX (www.badpenguin.org)	Owner
5620	libbeep\n    	Raine M. Ekman	Owner
5621	libbgrabwebcam\n    	Andreas Schiffler	Owner
5623	libbtrace\n    	Juan M. Bello Rivas	Owner
5628	libcim\n    	Volker	Owner
5631	libdatablk\n    	Amadeus	Owner
5634	libdsp\n    	SonarNerd	Owner
5635	libdv\n    	Charles 'Buck' Krasic	Owner
5637	libevent\n    	Niels Provos	Owner
5641	libfget\n    	Mark D. Roth	Owner
5644	libfoxdesktop\n    	j_a_r	Owner
5645	libgaudio\n    	Andreas Schiffler	Owner
5648	libgeotiff\n    	Frank Warmerdam	Owner
5651	libglade\n    	James Henstridge	Owner
5665	libjpeg\n    	Tom Lane	Owner
5666	libjsw\n    	Wolfpack Entertainment	Owner
5667	libjxml2sql\n    	acidos	Owner
5669	libkmid\n    	Antonio Larrosa	Owner
5670	libksd\n    	David Snopek	Owner
5671	liblcd\n    	Nathan Anderson	Owner
5678	libmcrypt\n    	n.mavroyanopoulos	Owner
5680	libmdate\n    	ewe2	Owner
5682	libmidixx\n    	Kaz Sasayama	Owner
5683	libmikmod\n    	Raphael Assenat	Maintainer
5685	libmng\n    	Gerard Juyn	Owner
5689	libnids\n    	Nergal	Owner
5690	libodbc\n    	Bob Ham	Project Manager
5693	liboop\n    	Dan Egnor	Owner
5695	libowfat\n    	Felix von Leitner	Owner
5697	libpcap\n    	imipak	Owner
5701	libpng\n    	Glenn Randers-Pehrson	Owner
5707	libradio\n    	dj51d	Owner
5709	libredblack\n    	Damian Ivereigh	Owner
5710	librep\n    	Christopher Bratusek	Project Manager
5712	libros_pl\n    	Angel Ortega	Owner
5715	libsap\n    	Michal Kunikowski	Owner
5716	libshout\n    	Brendan Cully	Owner
5718	libsigc\n    	Murray Cumming	Owner
5720	libslack\n    	raf	Owner
5721	libslaktool\n    	Cedric De Wilde	Owner
5725	libsmtp\n    	Kevin Read	Owner
5726	libsndfile\n    	Erik de Castro Lopo	Owner
5729	libsqlora8\n    	Kai Poitschke	Owner
5730	libsrvtab\n    	brashear	Owner
5733	libstocks\n    	laeuffer	Owner
5736	libsvm\n    	jochang	Owner
5740	libtar\n    	Mark D. Roth	Owner
5742	libtecla\n    	Martin Shepherd	Owner
5743	libtiff\n    	Bob Friesenhahn	Developer
5743	libtiff\n    	Frank Warmerdam	Owner
5743	libtiff\n    	Andrey Kiselev	Developer
5746	libtool\n    	Gary V. Vaughan	Owner
5747	libtst\n    	Peter A. Friend	Owner
5750	libusb\n    	Johannes Erdfelt	Owner
5753	libvrmldb\n    	emailpaco	Owner
5757	libwmf\n    	Francis James Franklin	Owner
5761	libxml\n    	DV	Owner
5762	libxmlpp\n    	Christophe de Vienne	Owner
5763	libxml-perl\n    	Ken MacLeod	Owner
5764	libyama\n    	Venkatesha Murthy G.	Owner
5768	licq\n    	Jon Keating	Owner
5768	licq\n    	root_42	Team Member
5768	licq\n    	Anders Olofsson	Team Member
5773	licq2micq\n    	Ahmed El-Mahmoudy	Owner
5778	lightspeed!\n    	Straker Skunk	Owner
5783	likken\n    	Stephane Boisson	Owner
5784	lilo\n    	John Coffman	Owner
5785	lilo-colors\n    	Jan Willem	Owner
5787	lilypond\n    	hanwen	Owner
5792	limpoo\n    	Xavier DEGENEVE	Owner
5793	lin-setibuf\n    	Emmanuele Bassi	Owner
5797	linberto\n    	Diego Grigna	Owner
5798	lincity\n    	Corey Keasling	Owner
5798	lincity\n    	Greg Sharp	Owner
5799	crossvc\n    	Tilo Riemer	Owner
5803	linecontrolserver\n    	S. Fuchs	Owner
5810	lingoteach\n    	Reto Stamm	Owner
5810	lingoteach\n    	Marcus vA	Admin
5815	linkcheck\n    	kbo	Owner
5816	linkchecker\n    	Bastian Kleineidam	Owner
5817	links\n    	Karel Kulhavy	Owner
5819	linkssql\n    	Alex Krohn	Owner
5820	linkscan\n    	Ken Churilla	Owner
5828	linudent\n    	Gibby	Owner
5830	linux2_4routingtrafficcontrolhowto\n    	ahu	Owner
5831	qtagistudio\n    	Jarno Elonen	admin
5831	qtagistudio\n    	Helen	admin
5837	linuxcmd\n    	skel_	Owner
5846	freeswan\n    	LetoII	Owner
5847	linuxfromscratch\n    	Gerard Beekmans	Owner
5848	linux_general_ledger\n    	Don Anderson	Owner
5852	lids\n    	Huagang Xie	Owner
5857	linuxlettersandnumbers\n    	Kirk Ismay	Owner
5859	linuxlogo\n    	Vince Weaver	Owner
5863	linuxnapsterclient\n    	Peter Selinger	Owner
5866	lpp\n    	Cajus Pollmeier	Owner
5866	lpp\n    	Gordon Fraser	Developer / Debian
5867	linuxquakehowto\n    	stevenaaus	Owner
5870	linuxserialsniffer\n    	WildPossum	Owner
5871	linuxsmbusbiosdriver\n    	Kaz Sasayama	Owner
5872	linuxsnipes\n    	Jeremy Boulton	Owner
5876	linuxtracetoolkit\n    	karym	Owner
5877	linuxtrustees\n    	Andrew Ruder	Owner
5880	linuxvacation\n    	Sean Rima	Owner
5880	linuxvacation\n    	Alex McMillen	Admin
5880	linuxvacation\n    	Tom Joyce	programmer
5880	linuxvacation\n    	Mike Kuenzi	Maintainer
5881	linuxvirtualserver\n    	Wensong Zhang	Owner
5882	linuxvpnmasquerade\n    	John Hardin	Owner
5886	linux-ha\n    	Alan Robertson	Owner
5887	linux-kontor\n    	Joachim Schaaf	Owner
5889	mobile-guide\n    	Werner Heuser	Owner
5893	uclinuxcoldfire\n    	gerg	Owner
5894	linuxconf\n    	Matthieu Araman	Owner
5902	linuxtart\n    	Mark Veinot	Owner
5907	liquidwar\n    	Christian Mauduit	Owner
5908	lirc\n    	Christoph Bartelmus	Owner
5912	l2t\n    	Christian Queinnec	Owner
5913	lispreader\n    	Mark Probst	Owner
5917	literateperl\n    	Gregor N. Purdy	Owner
5922	liveframe-gallery\n    	James Home	Owner
5925	livewebstats\n    	Darxus	Owner
5931	lla\n    	Kris Buytaert	Owner
5940	lm_sensors\n    	Mark S.	Owner
5940	lm_sensors\n    	Jean Delvare	Project admin
5940	lm_sensors\n    	Philip Edelbrock	Project admin
5945	load\n    	Frank Cohen	Owner
5947	loadmon_epplet\n    	Travis Whitton	Owner
5951	ldse\n    	Hendrik Lipka	Owner
5959	log4cpp\n    	Bastiaan Bakker	Owner
5959	log4cpp\n    	Waffel	Owner
5961	logtool\n    	A.L.Lambert	Owner
5963	log2mail\n    	Michael Krax	Owner
5968	lc\n    	Artful Henry	Owner
5971	logdog\n    	Brandon Zehm	Owner
5977	loginserver\n    	Christian Garbs	Owner
5979	logitest\n    	Anthony Eden	Owner
5982	logsurfer\n    	kmoeller	Owner
5984	logwatch\n    	Kirk Bauer	Owner
5985	log_analysis\n    	Morty Abzug	Owner
5988	loki_uninstall\n    	Stéphane Peter	Owner
5989	loki_update\n    	Stéphane Peter	Owner
5992	lomac\n    	Tim Fraser	Owner
6003	lopster\n    	Sgop	Owner
6004	logjam\n    	Evan Martin	Owner
6008	lout\n    	Valeriy Ushakov	Owner
6009	lowcal\n    	Dave Sherohman	Owner
6014	lphdisk\n    	Patrick D. Ashmore	Owner
6015	lprng\n    	Patrick Powell	Owner
6019	lrpstat\n    	Martin Hejl	Owner
6021	lrzsz\n    	Uwe Ohse	Owner
6022	ls-l\n    	Jan Borsodi	Owner
6023	lsb-fhs\n    	Andrew Josey	Owner
6024	lsb-vsx\n    	Andrew Josey	Owner
6025	lsdldoom\n    	Jess	Owner
6028	lsh\n    	Niels Möller	Owner
6029	lsof\n    	Ray Shaw	Owner
6032	ltris\n    	kulkanie	Owner
6034	lua\n    	Andre Costa	Owner
6036	luci\n    	Jérôme SAUTRET	Owner
6038	lucifer\n    	Peter Todd	Owner
6042	tnftp\n    	Luke Mewburn	Owner
6047	lwm\n    	James Carter	Owner
6048	lwmenu\n    	medgar	Owner
6059	lyntin\n    	will	Owner
6060	lynx\n    	T.E.Dickey	Owner
6061	lynx2links\n    	Ahmed El-Mahmoudy	Owner
6062	lyskomd\n    	Per Cederqvist	Owner
6065	tex2pdf\n    	Steffen Evers	Owner
6066	lzo\n    	mfx	Owner
6067	lzop\n    	mfx	Owner
6069	m2crypto\n    	Heikki Toivonen	Owner
6074	maccess\n    	Marek Chlup	Owner
6077	macfork\n    	orange7	Owner
6080	macrosystem\n    	Gustavo Niemeyer	Owner
6082	libmad\n    	Rob Leslie	Owner
6083	madbomber\n    	Bill Kendrick, New Breed Software	Owner
6084	maelstrom\n    	Sam Lantinga	Owner
6085	maes\n    	Steven Scott	Owner
6092	magicvlsilayout\n    	R. Timothy Edwards	Owner
6097	magiclight\n    	Mikael Aronsson	Owner
6100	magicstats\n    	Chris Lattner	Owner
6103	mahogany\n    	VZ	Owner
6109	mail2news-easy\n    	José Mans	Owner
6111	mail2sms\n    	Daniel Stenberg	Owner
6112	mailezmlm\n    	Guy Antony Halse	Owner
6112	mailezmlm\n    	Lars	Developer
6117	mailcrypt\n    	Brian Warner	Owner
6120	maildir-bulletin\n    	etbe	admin
6122	mdmda\n    	David Nicol	Owner
6124	maildrop\n    	Sam Varshavchik	Owner
6125	mailfilter\n    	Andreas Bauer	Owner
6128	mailman\n    	Barry Warsaw	Owner
6133	mailq_applet\n    	Phil Endecott	Owner
6138	mailspam\n    	Osty	Owner
6143	mailwatch\n    	Shayde	Owner
6144	mail_log\n    	Christian Garbs	Owner
6148	monetra\n    	Brad House	Owner
6154	mkcdrec\n    	Gratien D'haese	Owner
6159	makefaq\n    	Dan York	Owner
6160	makeheaders\n    	D. Richard Hipp	Owner
6161	makehtml\n    	Jan Theofel	Owner
6166	makepp\n    	Gary Holt	Owner
6167	makeself\n    	Stéphane Peter	Owner
6168	makesig\n    	Christian Garbs	Owner
6170	make_faq\n    	DaveSource	Owner
6175	qmc2\n    	Prian	Owner
6177	man\n    	Federico Lucifredi	Owner
6179	man-pages\n    	John Levon	Owner
6183	manedit\n    	Wolfpack Entertainment	Owner
6186	manpages-ru\n    	Victor Vislobokov	New owner
6189	manstyle\n    	Andrew Mustun	Owner
6192	mantisbt\n    	Victor Boctor	Project Manager
6197	mapit\n    	Bernhard Herzog	Owner
6198	mapserver\n    	Stephen Lime	Owner
6199	marbles\n    	kulkanie	Owner
6204	marketanalysissystem\n    	Jim Cochrane	Owner
6205	market+\n    	giunad	Owner
6206	markoff\n    	Richard Curnow	Owner
6207	marks\n    	Todd Allen	Owner
6208	mars\n    	Brian H. Trammell	Owner
6211	photoframe\n    	Martin Dougiamas	Owner
6212	martyr\n    	bdamm	Owner
6214	msysm\n    	Masar	Owner
6215	mason\n    	William Stearns	Owner
6219	masqidentd\n    	My Nguyen	Owner
6229	matgen\n    	Ricardo Bonon	Owner
6234	mathfun_py\n    	Adam Gurno	Owner
6235	mathmap\n    	Mark Probst	Owner
6238	mathwar\n    	Ken Sodemann	Owner
6240	matritsa\n    	Dov Grobgeld	Owner
6244	matrixclock\n    	Tobias Bengtsson	Owner
6246	matrix_saver\n    	Arensb	Owner
6255	mavric\n    	R. Ree	Owner
6258	maxima\n    	James Amundson	Owner
6260	maxiweb\n    	Rick Kimball	Owner
6262	maybeupload\n    	Simon Brooke	Owner
6264	mbackup\n    	jo2y	Owner
6267	mboxgrep\n    	Daniel Spiljar	Owner
6268	mbsebulletinboardsystembbs\n    	Michiel Broek	Owner
6270	mca\n    	Luke Schubert	Owner
6275	mcfeely\n    	Matt Liggett	Project Manager
6275	mcfeely\n    	Galvanick Lucipher	Maintainer
6278	mckoidb\n    	Toby	Owner
6279	mcl\n    	Erwin S. Andreasen	Owner
6280	mconv\n    	Andrew Wood	Owner
6282	mcrypt\n    	n.mavroyanopoulos	Owner
6285	md5messagedigestlibrary\n    	L. Peter Deutsch	Owner
6287	md5mon\n    	Serge Winitzki	Owner
6289	mdate\n    	ewe2	Owner
6290	mdbtools\n    	Brian Bruns	Owner
6296	mbuffer\n    	Thomas Maier-Komor	Owner
6301	medicine-howto\n    	dude	Owner
6304	medusads9\n    	Milan Pikula	Owner
6305	meetingroombookingsystem\n    	John Beranek	Owner
6312	melys\n    	Steve Ratcliffe	Owner
6313	memchan\n    	Andreas Kupries	Owner
6316	memmxtest\n    	J.A. Bezemer	Owner
6322	memtester\n    	Charles Cazabon	Owner
6323	memtime\n    	Johan Bengtsson	Owner
6324	memwatch\n    	Johan Lindh	Owner
6328	merchantempires\n    	Danny Froberg	Owner
6331	mergelog\n    	Bertrand Demiddelaer	Owner
6336	mersennetwister\n    	AlpineR	Owner
6342	metabase\n    	Manuel Lemos	Owner
6346	mg3\n    	Santiago Muelas	Owner
6347	metagroup\n    	Everton da Silva Marques	Owner
6356	metapixel\n    	Mark Probst	Owner
6359	meter\n    	davec	Owner
6366	mfind\n    	WesMo	Owner
6367	mfmail\n    	Remi Turk	Owner
6372	mgadvd\n    	Merrick Johnson	Owner
6374	mgetty\n    	Gert Doering	Owner
6375	mgetty-rawdatapatch\n    	Zoltan Boszormenyi	Owner
6380	mh-sync\n    	Justin Mason	Owner
6382	mhash\n    	n.mavroyanopoulos	Owner
6385	mhonarc\n    	ehood	Owner
6388	mico\n    	Karel Gardas	Owner
6389	micoe\n    	mico/E	Owner
6390	climm\n    	Tadu	owner
6397	micro_httpd\n    	Jef Poskanzer	Owner
6398	micro_proxy\n    	Jef Poskanzer	Owner
6402	midgard\n    	Henri Bergius	Owner
6402	midgard\n    	Piotr Pokora	Release Manager
6407	midnightcommander\n    	Gürkan	Owner
6408	mw\n    	Terje Eggestad	Owner
6412	mifluz\n    	Loic Dachary	Owner
6413	mig\n    	Dan Lowe	Owner
6415	myclassifieds\n    	FuzzyMonkey.net	Owner
6416	myvotingscript\n    	FuzzyMonkey.net	Owner
6418	mikmodforjava\n    	Shlomi Fish	Owner
6422	mim\n    	joel jaeggli	Owner
6423	mimedefanger\n    	David F. Skoll	Owner
6429	mak\n    	sundance	Owner
6430	mindseye\n    	Kai Wetzel	Owner
6431	mindterm\n    	Martin Forssen	Owner
6432	ming\n    	dave	Owner
6437	minicom\n    	Martin Godisch	Owner
6437	minicom\n    	Adam Lackorzynski	Maintainer
6440	minimalist\n    	Vladimir Litovka	Owner
6445	minit\n    	Felix von Leitner	Owner
6449	mini_httpd\n    	Jef Poskanzer	Owner
6450	minml\n    	John Wilson	Owner
6451	minml-rpc\n    	John Wilson	Owner
6456	mioga\n    	Gilles POLART-DONAT	Owner
6463	misterhouse\n    	winter	Owner
6464	mpb\n    	Steven G. Johnson	Owner
6465	mitscheme\n    	Chris Hanson	Owner
6466	mithralcs-sdk\n    	Duncan3	Owner
6467	mdk\n    	jao	Owner
6469	mixer_app\n    	Per Liden	Owner
6471	mxv\n    	Douglas Scott	Owner
6474	mjpeg\n    	Gernot Ziegler	Owner
6475	mkautosmb\n    	Andr&eacute; Jonsson	Owner
6476	mkcd\n    	Cameron Simpson	Owner
6477	mkcdrecutils\n    	Gratien D'haese	Owner
6478	mkdep_perl\n    	Tomi Ollila	Owner
6480	mkgallery\n    	Adriano Freitas	Owner
6481	mkisofs\n    	Jörg Schilling	Owner
6485	mkpwd\n    	Oliver Schroeder	Owner
6486	mkrdns\n    	Theo Van Dinter	Owner
6487	mktclapp\n    	D. Richard Hipp	Owner
